CUSTOMER_ID,CUSTOMER_NAME,EMAIL,TOTAL_REVENUE
12,Lerato Molefe,lerato.m@gmail.com,3946.00
49,Preveshan Pillay,preveshan.p@gmail.com,3397.00
37,Stefan Smit,stefan.s@gmail.com,3395.00
19,Tendai Moyo,tendai.m@gmail.com,3296.50
17,Sarah Naidoo,sarah.n@gmail.com,2995.00
35,Ruan Viljoen,ruan.v@gmail.com,2848.00
32,Tiaan Burger,tiaan.b@gmail.com,2796.00
5,Zanele Ndlovu,zanele.ndlovu@gmail.com,2697.00
25,Sibongile Nkomo,sibongile.n@gmail.com,2697.00
31,Zama Cele,zama.cele@gmail.com,2597.00
27,Khanyisile Mthembu,khanyi.m@gmail.com,2595.00
7,Fatima Patel,fatima.p@gmail.com,2595.00
47,Zander Fourie,zander.f@gmail.com,2594.00
13,David Jacobs,david.j@gmail.com,2543.50
11,Anrich Potgieter,anrich.p@gmail.com,2448.00
9,Chantel De Wet,chantel.dw@gmail.com,2446.50
29,Keitumetse Lekota,kei.l@gmail.com,2446.50
10,Bongani Dlamini,bongani.d@gmail.com,2396.00
43,Bianca Green,bianca.g@gmail.com,2393.00
8,Sipho Nkosi,sipho.nkosi@gmail.com,2345.00
28,Andries Coetzee,andries.c@gmail.com,2345.00
39,Liezel Meyer,liezel.m@gmail.com,2296.00
41,Nicolette Taylor,nicolette.t@gmail.com,2295.00
42,Kabelo Modise,kabelo.m@gmail.com,2247.00
33,Amogelang Baloyi,amo.b@gmail.com,2245.50
30,Bradley Smith,bradley.s@gmail.com,2245.00
14,Naledi Madlala,naledi.m@gmail.com,2191.00
16,Ayanda Khumalo,ayanda.k@gmail.com,2147.00
23,Palesa Moroka,palesa.m@gmail.com,2047.00
22,Francois Du Plessis,francois.dp@gmail.com,2043.00
21,Muzi Zuma,muzi.z@gmail.com,1996.00
48,Nthabiseng Moshoeu,nthabi.m@gmail.com,1947.00
3,Nomvula Sithole,nomvula.s@gmail.com,1896.00
6,Pieter Botha,pieter.b@gmail.com,1846.00
38,Lungelo Ncube,lungelo.n@gmail.com,1845.00
34,Jessica Govender,jessica.g@gmail.com,1794.00
36,Busisiwe Mazibuko,busi.m@gmail.com,1747.00
2,Thabo Mokoena,thabo.mokoena@gmail.com,1697.00
45,Christo Swanepoel,christo.s@gmail.com,1648.00
18,Johan Pretorius,johan.p@gmail.com,1647.00
40,Sifiso Shongwe,sifiso.s@gmail.com,1597.00
15,Willem Van Wyk,willem.vw@gmail.com,1498.00
26,Divan Louw,divan.l@gmail.com,1447.00
4,Liam Marais,liam.m@gmail.com,1445.00
50,Wayne Adams,wayne.a@gmail.com,1397.00
20,Nicole Williams,nicole.w@gmail.com,1394.00
24,Michael Brown,michael.b@gmail.com,1346.00
46,Simphiwe Mtshali,simphiwe.m@gmail.com,1297.00
44,Mxolisi Hlongwane,mxolisi.h@gmail.com,1244.00
